datetime_nano,price,direction
2022-02-14 14:03:00,6712.2,buy
2022-02-14 14:08:00,6701.8,sell
2022-02-14 14:28:00,6691.8,buy
2022-02-14 14:31:00,6677.6,sell
2022-02-14 14:37:00,6686.2,buy
2022-02-14 14:42:00,6683.0,sell
2022-02-14 14:48:00,6687.8,buy
2022-02-15 09:37:00,6704.0,sell
2022-02-15 09:50:00,6690.4,buy
2022-02-15 10:15:00,6744.4,sell
2022-02-15 10:20:00,6748.0,buy
2022-02-15 10:24:00,6748.6,sell
2022-02-15 10:45:00,6735.0,buy
2022-02-15 10:59:00,6741.6,sell
2022-02-15 11:01:00,6746.6,buy
2022-02-15 11:12:00,6738.8,sell
2022-02-15 11:17:00,6748.2,buy
2022-02-15 11:23:00,6740.0,sell
2022-02-15 11:28:00,6744.6,buy
2022-02-15 13:00:00,6735.0,sell
2022-02-15 13:14:00,6722.0,buy
2022-02-15 13:21:00,6719.8,sell
2022-02-15 13:26:00,6727.0,buy
2022-02-15 13:43:00,6733.2,sell
2022-02-15 13:53:00,6738.4,buy
2022-02-15 13:58:00,6733.0,sell
2022-02-15 14:14:00,6716.0,buy
2022-02-15 14:58:00,6753.4,sell
2022-02-16 09:30:00,6776.0,buy
2022-02-16 09:38:00,6771.2,sell
2022-02-16 09:50:00,6758.6,buy
2022-02-16 10:14:00,6772.2,sell
2022-02-16 10:26:00,6774.6,buy
2022-02-16 10:31:00,6767.0,sell
2022-02-16 10:37:00,6773.0,buy
2022-02-16 10:43:00,6770.6,sell
2022-02-16 10:44:00,6772.6,buy
2022-02-16 10:49:00,6765.6,sell
2022-02-16 10:58:00,6766.2,buy
2022-02-16 11:20:00,6783.4,sell
2022-02-16 13:00:00,6779.0,buy
2022-02-16 13:03:00,6778.6,sell
2022-02-16 13:06:00,6782.6,buy
2022-02-16 13:13:00,6779.4,sell
2022-02-16 13:33:00,6765.6,buy
2022-02-16 13:49:00,6764.2,sell
2022-02-16 13:57:00,6769.2,buy
2022-02-16 14:01:00,6768.6,sell
2022-02-16 14:21:00,6755.0,buy
2022-02-16 14:38:00,6756.8,sell
2022-02-16 14:44:00,6761.6,buy
2022-02-17 09:30:00,6751.0,sell
2022-02-17 09:42:00,6736.0,buy
2022-02-17 09:44:00,6730.4,sell
2022-02-17 09:53:00,6733.0,buy
2022-02-17 10:07:00,6747.0,sell
2022-02-17 10:15:00,6748.6,buy
2022-02-17 10:17:00,6745.2,sell
2022-02-17 10:19:00,6751.6,buy
2022-02-17 10:25:00,6738.8,sell
2022-02-17 10:33:00,6749.6,buy
2022-02-17 10:44:00,6753.6,sell
2022-02-17 10:50:00,6760.0,buy
2022-02-17 11:07:00,6779.4,sell
2022-02-17 11:08:00,6783.0,buy
2022-02-17 11:19:00,6792.4,sell
2022-02-17 13:12:00,6771.6,buy
2022-02-17 13:20:00,6769.8,sell
2022-02-17 13:31:00,6772.8,buy
2022-02-17 13:53:00,6783.0,sell
2022-02-17 13:59:00,6784.0,buy
2022-02-17 14:03:00,6785.0,sell
2022-02-17 14:20:00,6772.0,buy
2022-02-17 14:24:00,6767.8,sell
2022-02-17 14:43:00,6760.0,buy
2022-02-17 14:46:00,6753.6,sell
2022-02-17 14:52:00,6757.8,buy
2022-02-18 09:30:00,6739.0,sell
2022-02-18 09:37:00,6768.2,buy
2022-02-18 09:45:00,6762.2,sell
2022-02-18 09:47:00,6773.4,buy
2022-02-18 10:02:00,6795.0,sell
2022-02-18 10:05:00,6800.4,buy
2022-02-18 10:17:00,6804.2,sell
2022-02-18 10:35:00,6798.0,buy
2022-02-18 10:44:00,6796.8,sell
2022-02-18 10:49:00,6804.0,buy
2022-02-18 10:59:00,6811.6,sell
2022-02-18 11:07:00,6806.4,buy
2022-02-18 11:08:00,6805.0,sell
2022-02-18 11:25:00,6813.4,buy
2022-02-18 13:02:00,6812.0,sell
2022-02-18 13:04:00,6821.2,buy
2022-02-18 13:15:00,6826.2,sell
2022-02-18 13:34:00,6818.8,buy
2022-02-18 13:35:00,6819.4,sell
2022-02-18 13:48:00,6813.6,buy
2022-02-18 13:50:00,6808.6,sell
2022-02-18 14:06:00,6806.4,buy
2022-02-18 14:27:00,6816.4,sell
